id,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,price,minimum_nights,maximum_nights,accommodates,bedrooms,beds,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_response_rate,host_listings_count,availability_365,price_normalized,weighted_score
1.04914586466211e+18,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,41.39929152300117,2.141738186304966,224.0,31.0,330.0,7.0,3.5,5.0,0.0,0.0,1.411818181818182,4.20909090909091,4.136363636363637,4.595454545454546,4.784545454545455,4.212727272727273,f,97%,97.0,312.0,0.35422810506823943,25.91875685979887
19321989.0,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,41.407887,2.215619,341.3863636363636,31.0,1125.0,6.0,3.0,6.0,0.0,0.0,1.179090909090909,4.699090909090909,4.746363636363636,4.830909090909092,4.779090909090909,4.616363636363637,f,88%,97.0,364.0,0.0,25.90318181818182
9.385079269077873e+17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,41.39883914755869,2.1490128087596325,110.0,31.0,1125.0,6.0,3.5,5.0,1.0,1.0,0.17,5.0,5.0,5.0,5.0,5.0,f,88%,97.0,365.0,0.6982374322748783,25.83491187161375
5.889412908362385e+17,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.38891,2.14651,129.0,32.0,330.0,5.0,3.5,6.0,2.0,1.0,0.12,4.5,4.5,5.0,4.5,4.0,f,92%,97.0,172.0,0.6409025444071051,25.832045127220358
1.0857425987432768e+18,Sant Antoni,Eixample,Entire rental unit,Entire home/apt,41.37664924255008,2.160696728939495,120.0,31.0,365.0,7.0,3.0,5.0,0.0,0.0,1.818181818181818,3.863863636363636,3.977272727272727,4.409090909090909,4.28,3.772727272727273,f,88%,97.0,269.0,0.6680611755023661,25.831130331502393
9.179986325564278e+17,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.392709547112354,2.1742563001616526,205.0,31.0,329.0,6.0,3.0,6.0,0.0,0.0,1.4363636363636365,4.199090909090909,4.427272727272728,4.238181818181818,4.5590909090909095,3.938181818181818,f,97%,97.0,199.0,0.4115629929360126,25.82630542237408
8.527117869384822e+17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,41.39475419999999,2.1374567,188.0,32.0,1125.0,7.0,3.5,4.0,0.0,0.0,2.109090909090909,4.598181818181818,4.695454545454546,4.65,4.848181818181818,4.181818181818182,f,100%,97.0,340.0,0.46286262944928325,25.823824949654288
1.0951774016330578e+18,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,41.39688,2.14761,120.0,33.0,360.0,6.0,3.5,4.0,0.0,0.0,1.5454545454545454,4.810909090909092,4.9390909090909085,4.909090909090909,4.606363636363636,4.802727272727273,f,99%,97.0,167.0,0.6680611755023661,25.809130331502395
9.375721622601048e+17,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,41.38457551064157,2.165201191253713,218.0,31.0,330.0,7.0,3.5,4.0,0.0,0.0,2.111818181818182,4.858181818181818,4.809090909090909,4.958181818181819,4.739090909090908,4.705454545454546,f,97%,97.0,116.0,0.37233385913174677,25.787071238411137
1.0926876791912584e+18,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,41.38820824187611,2.1803287870654744,134.0,33.0,365.0,6.0,3.5,4.0,0.0,0.0,1.6363636363636365,4.575454545454545,4.606363636363636,5.0,5.0,4.484545454545454,f,99%,97.0,167.0,0.6258144160208491,25.779745266255592
9.36248186152348e+17,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.38587912204167,2.1515206254373904,135.0,29.0,365.0,7.0,3.5,5.0,0.0,0.0,1.1554545454545453,4.65090909090909,4.572727272727272,4.8,4.687272727272728,4.579999999999999,f,100%,97.0,336.0,0.6227967903435978,25.779139839517182
9.83923686945732e+17,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,41.40274,2.13506,183.0,31.0,330.0,7.0,3.5,4.0,0.0,0.0,1.6800000000000004,4.709090909090909,4.506363636363637,4.634545454545455,4.829090909090909,4.668181818181818,f,97%,97.0,195.0,0.4779507578355394,25.772442992437238
9.187390603217092e+17,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.39136966500637,2.1610030432535146,229.0,31.0,330.0,7.0,3.5,4.0,0.0,0.0,0.7618181818181817,4.749090909090909,4.670909090909091,4.866363636363636,4.890909090909091,4.578181818181818,f,97%,97.0,192.0,0.33913997668198337,25.76809336247047
53396836.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,41.38621,2.18497,271.09090909090907,31.0,330.0,6.0,3.0,5.090909090909091,0.0,0.0,4.168181818181818,4.573636363636362,4.703636363636364,4.720909090909092,4.853636363636364,4.46090909090909,f,97%,97.0,101.0,0.21212536863040954,25.710924450249706
9.70094668990521e+17,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,41.38443,2.16843,132.0,32.0,330.0,5.0,3.0,5.0,1.0,1.0,0.39,5.0,5.0,5.0,5.0,5.0,f,92%,97.0,260.0,0.6318496673753515,25.68159248336877
35784158.0,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,41.38062,2.16903,132.0,32.0,360.0,5.0,3.0,5.0,2.0,1.0,0.04,5.0,5.0,5.0,5.0,5.0,f,92%,97.0,176.0,0.6318496673753515,25.68159248336877
9.743521117853514e+17,el Besòs i el Maresme,Sant Martí,Entire rental unit,Entire home/apt,41.413907587927305,2.2191265728098832,182.0,32.0,365.0,6.0,3.0,4.0,2.0,2.0,0.46,5.0,5.0,5.0,5.0,5.0,f,98%,97.0,195.0,0.4809683835127906,25.67404841917564
43178126.0,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.38569,2.16766,132.0,32.0,1125.0,5.0,3.0,5.0,5.0,2.0,0.11,4.8,4.8,5.0,5.0,4.8,f,92%,97.0,205.0,0.6318496673753515,25.66159248336877
50862112.0,la Sagrada Família,Eixample,Entire serviced apartment,Entire home/apt,41.40612,2.17014,152.0,32.0,1124.0,6.0,3.5,4.0,7.0,1.0,0.22,4.57,4.43,4.86,4.57,4.29,f,98%,97.0,90.0,0.5714971538303272,25.650574857691517
8.91868251094082e+17,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.39517150221716,2.1715156049461,188.0,31.0,330.0,7.0,3.5,4.0,0.0,0.0,1.1563636363636365,3.863863636363636,3.958181818181818,4.1431818181818185,4.308181818181819,3.683636363636365,f,97%,97.0,103.0,0.46286262944928325,25.648665858745197
35782737.0,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,41.38421,2.1699,132.0,32.0,360.0,5.0,3.0,5.0,3.0,2.0,0.06,4.67,5.0,5.0,5.0,4.67,f,92%,97.0,216.0,0.6318496673753515,25.64859248336877
40443970.0,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.38571,2.16797,132.0,32.0,360.0,5.0,3.0,5.0,0.0,0.0,0.8545454545454546,4.708181818181818,4.749090909090909,4.758181818181819,4.807272727272727,4.593636363636364,f,92%,97.0,228.0,0.6318496673753515,25.6288652106415
43176687.0,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,41.3857,2.16797,132.0,32.0,1125.0,5.0,3.0,5.0,2.0,1.0,0.06,4.0,5.0,4.5,4.28,4.5,f,92%,97.0,218.0,0.6318496673753515,25.60659248336877
1447826.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire serviced apartment,Entire home/apt,41.38144,2.1827,159.54545454545453,32.0,365.0,6.0,3.0,3.636363636363636,4.0,0.0,0.03,5.0,5.0,5.0,5.0,5.0,f,90%,97.0,41.0,0.5487277964474316,25.6047091170951
47791201.0,la Font de la Guatlla,Sants-Montjuïc,Entire rental unit,Entire home/apt,41.37052,2.1459,92.0,32.0,330.0,5.0,3.0,5.0,1.0,1.0,0.31,5.0,4.0,5.0,5.0,4.0,f,92%,97.0,249.0,0.7525546944654002,25.58762773472327
8.257781033571567e+17,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,41.40575379879996,2.168024455354173,157.0,32.0,365.0,6.0,3.5,4.0,2.0,2.0,0.2,4.5,4.5,4.5,5.0,3.683636363636365,f,98%,97.0,103.0,0.556409025444071,25.571184087635842
7.159628013329215e+17,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,41.38521,2.1796,260.0,31.0,365.0,6.0,3.0,4.0,1.0,0.0,0.06,5.0,5.0,5.0,5.0,5.0,f,66%,97.0,344.0,0.2455935806871956,25.562279679034365
