id,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,price,minimum_nights,maximum_nights,accommodates,bedrooms,beds,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_response_rate,host_listings_count,availability_365,price_normalized,weighted_score
1.0906865204531168e+18,l'Antiga Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,41.38684,2.15555,200.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,2.0,4.227272727272728,4.115454545454546,4.345454545454545,4.8,4.193636363636363,f,50%,1.0,269.0,0.4266511213222687,1.4579689197024772
51273868.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,Private room in rental unit,Private room,41.40588,2.1631,67.0,1.0,31.0,1.0,1.0,1.0,0.0,0.0,3.227272727272727,4.235454545454545,4.463636363636364,4.334545454545455,4.349090909090909,4.010909090909092,f,100%,1.0,59.0,0.8279953363966807,1.4592179486380163
1.0796003123116786e+18,el Poble Sec,Sants-Montjuïc,Private room in rental unit,Private room,41.3748152,2.1611738,50.0,1.0,365.0,2.0,1.0,0.0,0.0,0.0,2.179090909090909,4.291818181818181,3.966363636363636,4.333636363636364,4.511818181818182,4.007272727272727,f,63%,1.0,57.0,0.8792949729099513,1.4613738395545885
7.052300347622737e+17,Vallcarca i els Penitents,Gràcia,Private room in rental unit,Private room,41.415135842882215,2.139146117319489,68.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,1.8890909090909087,4.247272727272727,4.28,4.427272727272727,4.508181818181819,4.049090909090909,f,0%,1.0,364.0,0.8249777107194294,1.467521612808699
6.765359571187896e+17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room in rental unit,Private room,41.39533470000001,2.1441402,130.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,1.1963636363636363,4.349090909090909,4.641818181818182,4.6054545454545455,4.594545454545455,4.091818181818181,f,83%,1.0,269.0,0.6378849187298539,1.4713487913910381
8.384209074995892e+17,la Vila de Gràcia,Gràcia,Private room in rental unit,Private room,41.40360718550697,2.1527838614461627,150.0,1.0,365.0,1.0,1.0,1.0,10.0,10.0,1.35,4.4,4.1,4.6,4.8,4.2,f,59%,1.0,199.0,0.5775324051848296,1.4788766202592416
9.092593899642852e+17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room in rental unit,Private room,41.39752,2.14499,100.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,1.6663636363636365,4.348181818181818,4.407272727272727,4.588181818181818,4.696363636363635,4.180000000000001,f,91%,1.0,364.0,0.7284136890473905,1.4838297753614607
7.460520984063414e+17,Sant Antoni,Eixample,Private room in rental unit,Private room,41.3768011,2.1605811,100.0,1.0,1125.0,2.0,1.0,0.0,24.0,21.0,1.44,4.42,4.54,4.63,4.46,4.17,f,100%,1.0,354.0,0.7284136890473905,1.4849206844523697
51852510.0,Verdun,Nou Barris,Private room in rental unit,Private room,41.4452068,2.178308,100.0,1.0,365.0,1.0,1.0,1.0,1.0,1.0,0.2,5.0,5.0,5.0,4.28,4.0,f,64%,1.0,89.0,0.7284136890473905,1.4864206844523697
1.0773231655875882e+18,Provençals del Poblenou,Sant Martí,Private room in rental unit,Private room,41.41765,2.2076,30.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,1.8554545454545457,4.162727272727273,4.3963636363636365,4.548181818181818,4.694545454545454,4.128181818181819,f,5%,1.0,226.0,0.9396474864549756,1.4872096470500218
8.910211615007927e+17,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room in guesthouse,Private room,41.39949498440221,2.1438860897619434,35.0,2.0,365.0,1.0,1.0,0.0,14.0,14.0,1.41,4.93,4.57,5.0,4.86,4.93,f,55%,1.0,180.0,0.9245593580687196,1.4892279679034361
9.759164683555666e+17,Sants,Sants-Montjuïc,Private room in rental unit,Private room,41.37485683311514,2.1322373906443888,56.0,1.0,365.0,1.0,1.0,1.0,0.0,0.0,2.979090909090909,4.271818181818182,4.544545454545455,4.751818181818182,4.412727272727273,4.109999999999999,f,50%,1.0,177.0,0.8611892188464441,1.4916503700332315
